Time_ms,Absolute_Displacement_nm
0.000,2927.585
1.000,2927.585
2.000,2927.585
3.000,2927.585
4.000,2927.585
5.000,2927.585
6.000,2927.585
7.000,2927.585
8.000,2927.585
9.000,2927.585
10.000,2927.585
11.000,2927.585
12.000,2927.585
13.000,2927.585
14.000,2927.585
15.000,2927.585
16.000,2927.585
17.000,2927.585
18.000,2927.585
19.000,2927.585
20.000,2927.585
21.000,2927.585
22.000,2927.585
23.000,2927.585
24.000,2927.585
25.000,2927.585
26.000,2927.585
27.000,2927.585
28.000,2927.585
29.000,2927.585
30.000,2927.585
31.000,2927.585
32.000,2927.585
33.000,2927.585
34.000,2927.585
35.000,2927.585
36.000,2927.585
37.000,2927.585
38.000,2927.585
39.000,2927.585
40.000,2848.461
41.000,2927.585
42.000,2927.585
43.000,2927.585
44.000,2927.585
45.000,2927.585
46.000,2927.585
47.000,2927.585
48.000,2848.461
49.000,2848.461
50.000,2927.585
51.000,2927.585
52.000,2927.585
53.000,2927.585
54.000,2927.585
55.000,2927.585
56.000,2927.585
57.000,2927.585
58.000,2927.585
59.000,2927.585
60.000,2927.585
61.000,2927.585
62.000,2927.585
63.000,2927.585
64.000,2927.585
65.000,2927.585
66.000,2927.585
67.000,2927.585
68.000,2927.585
69.000,2927.585
70.000,2927.585
71.000,2927.585
72.000,2927.585
73.000,2927.585
74.000,2927.585
75.000,2927.585
76.000,2927.585
77.000,2927.585
78.000,2927.585
79.000,2927.585
80.000,2927.585
81.000,2927.585
82.000,2927.585
83.000,2927.585
84.000,2927.585
85.000,2927.585
86.000,2927.585
87.000,2927.585
88.000,2927.585
89.000,2927.585
90.000,2848.461
91.000,2927.585
92.000,2927.585
93.000,2927.585
94.000,2927.585
95.000,2927.585
96.000,2927.585
97.000,2927.585
98.000,2848.461
99.000,2927.585
100.000,2927.585
101.000,2927.585
102.000,2927.585
103.000,2927.585
104.000,2927.585
105.000,2927.585
106.000,2927.585
107.000,2848.461
108.000,2927.585
109.000,2927.585
110.000,2927.585
111.000,2927.585
112.000,2927.585
113.000,2927.585
114.000,2927.585
115.000,2927.585
116.000,2848.461
117.000,2927.585
118.000,2927.585
119.000,2927.585
120.000,2927.585
121.000,2927.585
122.000,2927.585
123.000,2927.585
124.000,2927.585
125.000,2927.585
126.000,2927.585
127.000,2927.585
128.000,2927.585
129.000,2927.585
130.000,2927.585
131.000,2927.585
132.000,2927.585
133.000,2927.585
134.000,2927.585
135.000,2927.585
136.000,2927.585
137.000,2927.585
138.000,2927.585
139.000,2927.585
140.000,2927.585
141.000,2927.585
142.000,2927.585
143.000,2927.585
144.000,2927.585
145.000,2927.585
146.000,2927.585
147.000,2927.585
148.000,2927.585
149.000,2927.585
150.000,2927.585
151.000,2927.585
152.000,2927.585
153.000,2927.585
154.000,2927.585
155.000,2927.585
156.000,2927.585
157.000,2927.585
158.000,2927.585
159.000,2927.585
160.000,2927.585
161.000,2927.585
162.000,2927.585
163.000,2927.585
164.000,2927.585
165.000,2848.461
166.000,2927.585
167.000,2927.585
168.000,2927.585
169.000,2927.585
170.000,2927.585
171.000,2927.585
172.000,2927.585
173.000,2848.461
174.000,2927.585
175.000,2927.585
176.000,2927.585
177.000,2927.585
178.000,2927.585
179.000,2927.585
180.000,2927.585
181.000,2927.585
182.000,2927.585
183.000,2927.585
184.000,2927.585
185.000,2927.585
186.000,2927.585
187.000,2927.585
188.000,2927.585
189.000,2927.585
190.000,2927.585
191.000,2927.585
192.000,2927.585
193.000,2927.585
194.000,2927.585
195.000,2927.585
196.000,2927.585
197.000,2927.585
198.000,2927.585
199.000,2927.585
200.000,2927.585
201.000,2927.585
202.000,2927.585
203.000,2927.585
204.000,2927.585
205.000,2927.585
206.000,2927.585
207.000,2927.585
208.000,2927.585
209.000,2927.585
210.000,2927.585
211.000,2927.585
212.000,2927.585
213.000,2927.585
214.000,2927.585
215.000,2848.461
216.000,2927.585
217.000,2927.585
218.000,2927.585
219.000,2927.585
220.000,2927.585
221.000,2927.585
222.000,2927.585
223.000,2848.461
224.000,2848.461
225.000,2927.585
226.000,2927.585
227.000,2927.585
228.000,2927.585
229.000,2927.585
230.000,2927.585
231.000,2927.585
232.000,2927.585
233.000,2927.585
234.000,2927.585
235.000,2927.585
236.000,2927.585
237.000,2927.585
238.000,2927.585
239.000,2927.585
240.000,2927.585
241.000,2927.585
242.000,2927.585
243.000,2927.585
244.000,2927.585
245.000,2927.585
246.000,2927.585
247.000,2927.585
248.000,2927.585
249.000,2927.585
250.000,2927.585
251.000,2927.585
252.000,2927.585
253.000,2927.585
254.000,2927.585
255.000,2927.585
256.000,2927.585
257.000,2927.585
258.000,2927.585
259.000,2927.585
260.000,2927.585
261.000,2927.585
262.000,2927.585
263.000,2927.585
264.000,2927.585
265.000,2927.585
266.000,2927.585
267.000,2927.585
268.000,2927.585
269.000,2927.585
270.000,2927.585
271.000,2927.585
272.000,2927.585
273.000,2927.585
274.000,2927.585
275.000,2927.585
276.000,2927.585
277.000,2927.585
278.000,2927.585
279.000,2927.585
280.000,2927.585
281.000,2927.585
282.000,2927.585
283.000,2927.585
284.000,2927.585
285.000,2927.585
286.000,2927.585
287.000,2927.585
288.000,2927.585
289.000,2927.585
290.000,2927.585
291.000,2927.585
292.000,2927.585
293.000,2927.585
294.000,2927.585
295.000,2927.585
296.000,2927.585
297.000,2927.585
298.000,2927.585
299.000,2927.585
300.000,2927.585
301.000,2927.585
302.000,2927.585
303.000,2927.585
304.000,2927.585
305.000,2927.585
306.000,2927.585
307.000,2927.585
308.000,2927.585
309.000,2927.585
310.000,2927.585
311.000,2927.585
312.000,2927.585
313.000,2927.585
314.000,2927.585
315.000,2927.585
316.000,2927.585
317.000,2927.585
318.000,2927.585
319.000,2927.585
320.000,2927.585
321.000,2927.585
322.000,2927.585
323.000,2927.585
324.000,2927.585
325.000,2927.585
326.000,2927.585
327.000,2927.585
328.000,2927.585
329.000,2927.585
330.000,2927.585
331.000,2927.585
332.000,2848.461
333.000,2927.585
334.000,2927.585
335.000,2927.585
336.000,2927.585
337.000,2927.585
338.000,2927.585
339.000,2927.585
340.000,2848.461
341.000,2927.585
342.000,2927.585
343.000,2927.585
344.000,2927.585
345.000,2927.585
346.000,2927.585
347.000,2927.585
348.000,2927.585
349.000,2848.461
350.000,2927.585
351.000,2927.585
352.000,2927.585
353.000,2927.585
354.000,2927.585
355.000,2927.585
356.000,2927.585
357.000,2927.585
358.000,2927.585
359.000,2927.585
360.000,2927.585
361.000,2927.585
362.000,2927.585
363.000,2927.585
364.000,2927.585
365.000,2927.585
366.000,2927.585
367.000,2927.585
368.000,2927.585
369.000,2927.585
370.000,2927.585
371.000,2927.585
372.000,2927.585
373.000,2927.585
374.000,2927.585
375.000,2927.585
376.000,2927.585
377.000,2927.585
378.000,2927.585
379.000,2927.585
380.000,2927.585
381.000,2927.585
382.000,2927.585
383.000,2927.585
384.000,2927.585
385.000,2927.585
386.000,2927.585
387.000,2927.585
388.000,2927.585
389.000,2927.585
390.000,2927.585
391.000,2927.585
392.000,2927.585
393.000,2927.585
394.000,2927.585
395.000,2927.585
396.000,2927.585
397.000,2927.585
398.000,2927.585
399.000,2927.585
400.000,2927.585
401.000,2927.585
402.000,2927.585
403.000,2927.585
404.000,2927.585
405.000,2927.585
406.000,2927.585
407.000,2927.585
408.000,2927.585
409.000,2927.585
410.000,2927.585
411.000,2927.585
412.000,2927.585
413.000,2927.585
414.000,2927.585
415.000,2927.585
416.000,2927.585
417.000,2927.585
418.000,2927.585
419.000,2927.585
420.000,2927.585
421.000,2927.585
422.000,2927.585
423.000,2927.585
424.000,2927.585
425.000,2927.585
426.000,2927.585
427.000,2927.585
428.000,2927.585
429.000,2927.585
430.000,2927.585
431.000,2927.585
432.000,2927.585
433.000,2927.585
434.000,2927.585
435.000,2927.585
436.000,2927.585
437.000,2927.585
438.000,2927.585
439.000,2927.585
440.000,2927.585
441.000,2927.585
442.000,2927.585
443.000,2927.585
444.000,2927.585
445.000,2927.585
446.000,2927.585
447.000,2927.585
448.000,2848.461
449.000,2848.461
450.000,2927.585
451.000,2927.585
452.000,2927.585
453.000,2927.585
454.000,2927.585
455.000,2927.585
456.000,2927.585
457.000,2848.461
458.000,2927.585
459.000,2927.585
460.000,2927.585
461.000,2927.585
462.000,2927.585
463.000,2927.585
464.000,2927.585
465.000,2848.461
466.000,2848.461
467.000,2927.585
468.000,2927.585
469.000,2927.585
470.000,2927.585
471.000,2927.585
472.000,2927.585
473.000,2848.461
474.000,2848.461
475.000,2927.585
476.000,2927.585
477.000,2927.585
478.000,2927.585
479.000,2927.585
480.000,2927.585
481.000,2927.585
482.000,2848.461
483.000,2848.461
484.000,2927.585
485.000,2927.585
486.000,2927.585
487.000,2927.585
488.000,2927.585
489.000,2927.585
490.000,2927.585
491.000,2927.585
492.000,2927.585
493.000,2927.585
494.000,2927.585
495.000,2927.585
496.000,2927.585
497.000,2927.585
498.000,2927.585
499.000,2927.585
500.000,2927.585
501.000,2927.585
502.000,2927.585
503.000,2927.585
504.000,2927.585
505.000,2927.585
506.000,2927.585
507.000,2927.585
508.000,2927.585
509.000,2927.585
510.000,2927.585
511.000,2927.585
512.000,2927.585
513.000,2927.585
514.000,2927.585
515.000,2927.585
516.000,2927.585
517.000,2927.585
518.000,2927.585
519.000,2927.585
520.000,2927.585
521.000,2927.585
522.000,2927.585
523.000,2848.461
524.000,2927.585
525.000,2927.585
526.000,2927.585
527.000,2927.585
528.000,2927.585
529.000,2927.585
530.000,2927.585
531.000,2848.461
532.000,2848.461
533.000,2927.585
534.000,2927.585
535.000,2927.585
536.000,2927.585
537.000,2927.585
538.000,2927.585
539.000,2927.585
540.000,2848.461
541.000,2848.461
542.000,2927.585
543.000,2927.585
544.000,2927.585
545.000,2927.585
546.000,2927.585
547.000,2927.585
548.000,2848.461
549.000,2848.461
550.000,2927.585
551.000,2927.585
552.000,2927.585
553.000,2927.585
554.000,2927.585
555.000,2927.585
556.000,2927.585
557.000,2848.461
558.000,2927.585
559.000,2927.585
560.000,2927.585
561.000,2927.585
562.000,2927.585
563.000,2927.585
564.000,2927.585
565.000,2848.461
566.000,2927.585
567.000,2927.585
568.000,2927.585
569.000,2927.585
570.000,2927.585
571.000,2927.585
572.000,2927.585
573.000,2927.585
574.000,2927.585
575.000,2927.585
576.000,2927.585
577.000,2927.585
578.000,2927.585
579.000,2927.585
580.000,2927.585
581.000,2927.585
582.000,2848.461
583.000,2927.585
584.000,2927.585
585.000,2927.585
586.000,2927.585
587.000,2927.585
588.000,2927.585
589.000,2927.585
590.000,2848.461
591.000,2848.461
592.000,2927.585
593.000,2927.585
594.000,2927.585
595.000,2927.585
596.000,2927.585
597.000,2927.585
598.000,2848.461
599.000,2848.461
600.000,2927.585
601.000,2927.585
602.000,2927.585
603.000,2927.585
604.000,2927.585
605.000,2927.585
606.000,2927.585
607.000,2848.461
608.000,2848.461
609.000,2927.585
610.000,2927.585
611.000,2927.585
612.000,2927.585
613.000,2927.585
614.000,2927.585
615.000,2848.461
616.000,2848.461
617.000,2927.585
618.000,2927.585
619.000,2927.585
620.000,2927.585
621.000,2927.585
622.000,2927.585
623.000,2927.585
624.000,2848.461
625.000,2927.585
626.000,2927.585
627.000,2927.585
628.000,2927.585
629.000,2927.585
630.000,2927.585
631.000,2927.585
632.000,2927.585
633.000,2927.585
634.000,2927.585
635.000,2927.585
636.000,2927.585
637.000,2927.585
638.000,2927.585
639.000,2927.585
640.000,2927.585
641.000,2927.585
642.000,2927.585
643.000,2927.585
644.000,2927.585
645.000,2927.585
646.000,2927.585
647.000,2927.585
648.000,2927.585
649.000,2927.585
650.000,2927.585
651.000,2927.585
652.000,2927.585
653.000,2927.585
654.000,2927.585
655.000,2927.585
656.000,2927.585
657.000,2848.461
658.000,2927.585
659.000,2927.585
660.000,2927.585
661.000,2927.585
662.000,2927.585
663.000,2927.585
664.000,2927.585
665.000,2848.461
666.000,2848.461
667.000,2927.585
668.000,2927.585
669.000,2927.585
670.000,2927.585
671.000,2927.585
672.000,2927.585
673.000,2848.461
674.000,2848.461
675.000,2927.585
676.000,2927.585
677.000,2927.585
